id	rate
27055	122.3
27057	213
27059	230.3
27061	256.8
27063	165.7
27065	193.8
27067	292.4
27069	44.4
27071	113.6
27073	99.6
27075	167
27077	152.7
27079	133
27081	120.1
27083	156.9
27085	192.1
27087	253.1
27089	84.9
27091	235
27093	168.7
27095	274.8
27097	212.9
27099	297.5
27101	140.6
27103	196.8
27105	231.3
27107	30.2
27109	374.6
27111	119.8
27113	184.2
27115	264.6
27117	194.2
27119	256.6
27121	137.2
27123	540.3
27125	246.5
27127	146.1
27129	138.5
27131	241.4
27133	115.5
27135	103.1
27137	364.5
27139	217.2
27141	287.3
27143	185.8
27145	337.3
27147	279.7
27149	92.4
27151	83.8
27153	135.3
27155	203.2
27157	209.9
27159	152.1
27161	356.1
27163	232.8
27165	350.2
27167	122
27169	406
27171	171.2
27173	167.6
28001	729.2
28003	233.1
28005	379.9
28007	636.7
28009	431.7
28011	316.71
28013	624.4
28015	462.2
28017	727.9
28019	250.9
28021	0
28023	456.9
28025	632.1
28027	316.71
28029	316.71
28031	674.5
28033	441
28035	795.5
28037	706.1
28039	220.2
28041	365.1
28043	684.8
28045	294.1
28047	580.7
28049	316.71
28051	316.71
28053	316.71
28055	501.8
28057	0
28059	442.2
28061	704.3
28063	316.71
28065	828.6
28067	530.7
28069	621.7
28071	697.6
28073	326.5
28075	657.9
28077	591.3
28079	714
28081	689
28083	316.71
28085	626.3
28087	645.8
28089	512.9
28091	485.1
28093	780.5
28095	803
28097	957.1
28099	694.8
28101	622.4
28103	847.7
28105	736.1
28107	845.9
28109	355.9
28111	461.6
28113	852.2
28115	326.9
28117	323
28119	316.71
28121	365.2
28123	788.7
28125	316.71
28127	494.5
28129	425.3
28131	383
28133	316.71
28135	968.1
28137	468.8
28139	289.8
28141	281.6
28143	316.71
28145	309.9
28147	395.2
28149	742.5
28151	316.71
28153	603.7
28155	350.5
28157	586.3
28159	590.8
28161	630.4
28163	867.9
29001	273.7
29003	217.8
29005	183.5
29007	611.8
29009	185.5
29011	171.1
29013	175.2
29015	121.5
29017	88.1
29019	650.6
29021	541.1
29023	506
29025	186.9
29027	383.2
29029	164.2
29031	508.3
29033	263
29035	159
29037	319.9
29039	179.7
29041	157.3
29043	228.7
29045	173.7
29047	379.2
29049	228.5
29051	606.3
29053	340
29055	215.9
29057	237.5
29059	187.5
29061	156.7
29063	148
29065	158.9
29067	118.4
29069	365.8
29071	226.9
29073	349
29075	88.6
29077	526.6
29079	318.7
29081	114.4
29083	217.6
29085	182.7
29087	131.3
29089	370.5
29091	257.5
29093	222.4
29095	745.7
29097	438.2
29099	237.6
29101	569.9
29103	221.3
29105	207.5
29107	242.8
29109	220
29111	246.3
29113	226.5
29115	234.5
29117	262.3
29119	350.2
29121	186.6
29123	128.7
29125	122
29127	373.7
29129	0
29131	263
29133	350.1
29135	228.6
29137	182.4
29139	225.7
29141	187.5
29143	430.2
29145	321.2
29147	451.4
29149	54.6
29151	131.5
29153	52.3
29155	634
29157	230.7
29159	367.3
29161	283.4
29163	198.2
29165	324.7
29167	245.4
29169	634.4
29171	225.6
29173	117.7
29175	268.6
29177	178
29179	121.2
29181	242.3
29183	256
29185	189.7
29186	225
29187	314.1
29189	535.2
29195	365.6
29197	252.4
29199	142.2
29201	458.1
29203	120.5
29205	226.6
29207	285.4
29209	185.3
29211	263.6
29213	265
29215	187.2
29217	300.7
29219	306.1
29221	182.7
29223	164.1
29225	202.9
29227	95.7
29229	162.4
29510	316.71
30001	396.1
30003	316.71
30005	681.4
30007	210.8
30009	67.7
30011	85.2
30013	548.7
30015	51.3
30017	468.6
30019	111.7
30021	264.7
30023	407.3
30025	129.9
30027	147.8
30029	321.3
30031	367.4
30033	77.5
30035	316.71
30037	116.4
30039	223.1
30041	651.9
30043	251.9
30045	0
30047	523.8
30049	349
30051	168.8
30053	138.7
30055	0
30057	116.7
30059	51.6
30061	163.7
30063	491.9
30065	129.6
30067	184.9
30069	0
30071	239.3
30073	128.8
30075	228.8
30077	228.8
30079	84.8
30081	196
30083	294.3
30085	316.71
30087	316.71
30089	237.6
30091	463.5
30093	367.9
30095	246.8
30097	27.3
30099	82.4
30101	155.7
30103	571.4
30105	183.5
30107	93.7
30109	89.2
30111	450.2
31001	275.2
31003	31
31005	0
31007	131.8
31009	0
31011	129.9
31013	141.5
31015	0
31017	102.5
31019	430.1
31021	121.7
31023	144.4
31025	165.6
31027	57.4
31029	75
31031	172.8
31033	128.8
31035	125.2
31037	268.6
31039	55.6
31041	129.7
31043	377.1
31045	418.1
31047	256.1
31049	51.6
31051	102.5
31053	325.9
