FIPS,Rate_x,Rate_y,Rate
13119,395.3,104.5,0.0
13121,668.0,260.1,43.6
13123,147.0,38.5,0.0
13125,193.4,64.5,0.0
13127,451.5,166.9,2.5
13129,234.9,98.6,1.8
13131,490.5,98.9,0.0
13133,471.8,128.7,0.0
13135,341.7,64.0,11.2
13137,198.6,34.6,0.0
13139,267.9,37.3,1.6
13141,687.0,225.3,0.0
13143,263.2,84.2,0.0
13145,168.4,39.8,3.1
13147,204.4,78.6,0.0
13149,199.0,34.6,0.0
13151,447.6,86.7,3.8
13153,584.5,155.1,3.4
13155,530.4,127.3,0.0
13157,247.4,32.8,3.3
13159,338.2,51.5,0.0
13161,453.2,33.3,0.0
13163,876.2,128.7,6.1
13165,561.0,107.9,0.0
13167,460.7,71.7,0.0
13169,122.5,17.5,0.0
13171,384.2,105.8,0.0
13173,374.7,38.4,0.0
13175,616.7,135.4,6.3
13177,282.1,37.8,3.4
13179,634.6,157.5,1.6
13181,309.6,51.6,0.0
13183,264.7,18.0,0.0
13185,842.2,221.4,15.1
13187,165.0,12.9,0.0
13189,862.5,213.3,4.6
13191,292.7,128.5,0.0
13193,456.8,142.8,7.1
13195,317.2,53.5,0.0
13197,428.2,69.4,0.0
13199,438.0,150.7,4.7
13201,590.0,84.3,0.0
13205,668.3,134.5,0.0
13207,348.4,107.5,0.0
13209,487.8,77.6,0.0
13211,382.4,39.4,0.0
13213,236.8,84.0,0.0
13215,784.4,251.9,9.9
13217,563.2,138.6,11.7
13219,226.2,32.3,5.9
13221,206.2,55.0,0.0
13223,192.6,38.1,4.8
13225,829.2,207.3,14.8
13227,114.9,13.5,0.0
13229,332.7,37.0,5.3
13231,252.9,39.3,0.0
13233,356.9,51.0,2.4
13235,511.2,86.6,0.0
13237,453.9,74.9,0.0
13239,507.0,126.7,42.2
13241,215.6,73.9,0.0
13243,597.5,180.6,0.0
13245,844.0,258.4,20.3
13247,586.8,157.6,6.9
13249,176.9,0.0,0.0
13251,540.7,98.3,0.0
13253,547.8,100.6,0.0
13255,462.2,156.7,0.0
13257,482.8,218.0,0.0
13259,443.1,153.4,0.0
13261,870.4,178.5,3.2
13263,325.3,62.0,0.0
13265,645.9,293.6,0.0
13267,372.2,121.4,0.0
13269,543.5,94.5,0.0
13271,427.9,180.8,0.0
13273,975.4,221.7,11.1
13275,824.6,187.2,15.6
13277,613.1,101.8,5.0
13279,696.7,209.0,3.7
13281,232.1,0.0,0.0
13283,491.7,134.1,0.0
13285,724.1,267.9,1.4
13287,811.4,36.9,0.0
13289,377.3,47.2,0.0
13291,74.2,9.3,0.0
13293,312.4,86.6,0.0
13295,165.7,44.0,0.0
13297,351.0,72.3,0.0
13299,784.1,196.0,0.0
13301,701.7,215.9,0.0
13303,759.3,120.9,0.0
13305,418.9,126.3,3.3
13307,662.0,183.9,0.0
13309,328.7,25.3,0.0
13311,68.4,18.0,0.0
13313,317.6,57.3,2.9
13315,379.5,44.6,22.3
13317,619.4,149.9,0.0
13319,530.1,63.6,0.0
13321,291.2,32.9,9.4
15001,377.3,20.4,1.6
15003,507.8,94.0,5.8
15005,0.0,0.0,0.0
15007,250.3,33.1,0.0
15009,329.6,21.2,5.0
16001,367.1,49.2,1.0
16003,78.4,0.0,0.0
16005,364.0,24.0,0.0
16007,168.3,0.0,0.0
16009,309.6,11.1,0.0
16011,220.8,15.5,0.0
16013,192.2,9.4,4.7
16015,161.9,14.7,0.0
16017,233.4,14.7,0.0
16019,254.8,10.2,3.7
16021,138.2,0.0,0.0
16023,37.9,37.9,0.0
16025,479.8,96.0,0.0
16027,485.7,33.2,0.5
16029,73.4,0.0,0.0
16031,231.5,17.1,0.0
16033,115.3,0.0,0.0
16035,291.5,11.7,0.0
16037,70.6,0.0,0.0
16039,458.5,30.6,0.0
16041,93.4,7.8,0.0
16043,54.2,23.2,0.0
16045,245.7,0.0,0.0
16047,318.3,13.3,0.0
16049,148.9,0.0,0.0
16051,126.3,3.7,0.0
16053,386.4,26.7,0.0
16055,408.3,22.2,1.4
16057,443.8,34.1,0.0
16059,116.7,0.0,0.0
16061,205.0,51.3,0.0
16063,526.8,18.8,0.0
16065,40.1,2.7,0.0
16067,305.5,14.8,0.0
16069,468.5,17.5,0.0
16071,93.6,0.0,0.0
16073,313.8,0.0,0.0
16075,225.6,0.0,0.0
16077,129.6,13.0,0.0
16079,394.0,0.0,0.0
16081,77.9,9.7,0.0
16083,434.0,42.5,0.0
16085,145.7,0.0,0.0
16087,120.7,10.1,0.0
17001,305.4,49.2,0.0
17003,852.0,222.8,0.0
17005,223.2,17.2,0.0
17007,220.5,9.3,1.9
17009,247.8,14.6,0.0
17011,149.8,23.5,2.9
17013,158.1,19.8,0.0
17015,281.7,20.1,0.0
17017,240.2,37.5,0.0
17019,608.6,185.5,0.5
17021,177.9,29.2,0.0
17023,222.5,18.5,0.0
17025,339.1,7.4,0.0
17027,250.6,26.4,0.0
17029,594.1,46.6,1.9
17031,713.1,198.2,13.8
17033,256.3,10.3,0.0
17035,228.5,18.3,0.0
17037,450.6,68.7,0.0
17039,231.4,12.2,0.0
17041,196.1,10.1,0.0
17043,220.6,26.0,2.0
17045,217.1,0.0,0.0
17047,149.9,0.0,0.0
17049,221.5,14.6,0.0
17051,145.1,4.5,0.0
17053,108.4,14.5,0.0
17055,265.3,66.3,0.0
17057,239.4,22.0,0.0
17059,240.1,36.9,0.0
17061,234.8,7.3,0.0
17063,155.3,21.9,0.0
17065,251.0,12.0,0.0
17067,204.1,10.7,0.0
17069,239.2,0.0,0.0
17071,157.4,0.0,0.0
17073,260.7,24.1,2.0
17075,86.3,13.8,3.5
17077,316.71,160.5,10.0
17079,218.9,10.4,20.9
17081,349.3,69.9,2.6
17083,194.3,22.1,0.0
17085,174.1,31.2,0.0
17087,284.0,47.3,0.0
17089,326.2,45.5,2.3
17091,585.1,115.1,1.8
17093,219.5,28.5,0.8
17095,439.7,92.2,1.9
17097,403.4,57.6,1.7
17099,254.9,57.9,1.8
17101,217.4,6.0,0.0
17103,338.5,25.8,0.0
17105,188.6,15.7,0.0
17107,577.4,73.4,0.0
17109,699.2,70.8,0.0
17111,180.5,13.0,1.0
17113,512.5,81.9,1.7
17115,760.4,309.3,3.7
17117,238.9,32.0,0.0
17119,401.2,76.0,0.0
17121,494.5,33.7,0.0
17123,320.9,41.1,0.0
17125,217.6,0.0,0.0
17127,364.9,46.4,0.0
17129,190.4,47.6,0.0
17131,278.2,18.5,0.0
17133,164.2,14.9,3.0
17135,205.7,13.5,0.0
17137,424.9,102.7,0.0
17139,309.2,13.4,0.0
17141,253.9,26.7,0.0
17143,786.5,238.8,0.5
17145,292.4,27.4,0.0
17147,255.6,12.2,0.0
17149,247.7,18.6,6.2
17151,765.3,92.8,0.0
17153,541.6,101.6,0.0
17155,241.3,0.0,0.0
17157,167.2,24.3,3.0
17159,284.3,37.1,0.0
17161,483.5,53.6,6.1
17163,746.9,235.6,6.0
17165,433.1,32.1,0.0
17167,553.4,179.8,7.0
17169,80.6,13.4,0.0
17171,229.8,76.6,0.0
17173,140.2,9.0,0.0
17175,237.0,16.9,0.0
17177,564.8,122.0,4.3
17179,285.3,33.7,0.0
17181,318.5,28.4,0.0
17183,560.2,215.4,2.5
17185,240.0,42.9,0.0
17187,225.7,16.9,0.0
17189,186.9,6.9,0.0
17191,198.7,0.0,6.0
17193,213.1,13.7,0.0
17195,295.4,34.7,0.0
17197,341.2,53.6,1.8
17199,322.8,32.9,3.0
17201,585.2,152.8,1.0
17203,160.4,35.6,0.0
18001,124.2,17.3,0.0
18003,514.6,151.8,1.1
18005,294.0,70.4,1.3
18007,365.0,57.0,0.0
18009,240.4,24.0,0.0
18011,239.8,13.2,5.0
18013,73.2,0.0,0.0
18015,114.5,10.0,0.0
18017,330.2,18.2,0.0
18019,354.2,82.3,1.8
18021,291.0,7.5,0.0
18023,352.4,27.3,0.0
18025,169.5,9.4,0.0
18027,320.9,30.9,0.0
18029,176.3,34.1,2.0
18031,163.6,11.4,0.0
18033,144.2,35.5,0.0
18035,578.0,118.3,2.6
18037,240.8,33.0,0.0
18039,421.3,100.7,0.5
18041,322.7,41.9,0.0
18043,409.2,85.3,1.3
18045,308.1,29.6,0.0
18047,156.9,4.4,0.0
18049,200.5,19.6,0.0
18051,300.5,65.5,0.0
18053,523.7,104.2,0.0
18055,189.1,24.4,6.1
18057,190.1,27.3,1.7
18059,233.3,33.5,0.0
18061,270.7,20.4,0.0
18063,200.2,39.6,1.9
18065,236.5,30.6,2.0
18067,329.9,87.0,1.2
18069,252.8,19.0,0.0
18071,269.2,43.7,0.0
18073,143.8,3.0,6.0
18075,239.1,18.8,0.0
18077,271.1,49.3,0.0
18079,315.1,24.8,0.0
18081,270.0,56.3,0.7
18083,379.4,34.3,0.0
18085,198.8,62.9,1.3
18087,60.5,7.9,0.0
18089,518.7,121.5,4.9
18091,310.0,80.9,0.9
18093,303.2,10.9,2.2
18095,310.4,68.2,0.0
18097,316.71,363.5,10.3
18099,142.2,6.4,0.0
18101,137.8,19.7,0.0
18103,279.5,41.5,0.0
18105,543.4,66.2,0.7
18107,275.0,26.2,0.0
18109,295.2,30.1,1.4
18111,149.1,14.2,0.0
18113,250.2,46.2,4.2
18115,166.8,16.7,0.0
18117,323.7,30.3,0.0
18119,127.4,14.2,0.0
18121,412.7,40.7,0.0
18123,194.3,30.7,0.0
18125,283.8,31.5,0.0
18127,240.8,25.2,0.0
18129,137.3,19.6,0.0
18131,146.1,7.7,0.0
18133,282.6,5.3,0.0
18135,249.7,39.0,0.0
18137,267.4,35.2,0.0
18139,252.9,23.5,5.9
18141,312.0,84.7,0.4
18143,262.8,62.6,0.0
18145,301.8,38.0,0.0
18147,171.9,43.0,0.0
18149,103.5,4.3,0.0
18151,186.3,34.9,0.0
18153,226.2,4.7,0.0
18155,152.0,28.5,0.0
18157,462.9,86.6,2.8
18159,115.0,31.9,0.0
18161,151.2,13.7,0.0
18163,599.2,207.8,1.7
18165,163.7,0.0,0.0
18167,391.5,74.8,0.0
18169,182.3,12.4,0.0
18171,237.7,35.7,0.0
18173,219.5,37.7,0.0
18175,252.0,39.6,0.0
18177,419.8,166.4,0.0
18179,197.7,21.6,0.0
18181,233.0,12.3,0.0
18183,144.2,15.0,0.0
19001,93.7,26.8,0.0
19003,308.2,0.0,0.0
19005,232.9,14.1,0.0
19007,323.0,31.5,0.0
19009,221.4,0.0,0.0
19011,256.8,15.6,0.0
19013,615.6,149.4,3.0
19015,246.5,15.2,11.4
19017,207.1,12.2,0.0
19019,243.1,38.1,0.0
19021,350.1,19.4,0.0
19023,159.8,0.0,0.0
19025,181.3,10.1,0.0
19027,213.6,34.0,4.9
19029,264.7,7.4,0.0
19031,174.0,10.9,0.0
19033,195.1,13.8,2.3
19035,192.5,0.0,0.0
19037,202.9,8.1,0.0
19039,332.4,0.0,0.0
19041,321.4,0.0,0.0
19043,174.4,11.3,0.0
19045,363.5,97.1,4.1
19047,447.4,17.2,0.0
19049,250.5,25.5,1.3
19051,136.5,0.0,0.0
19053,442.5,12.3,0.0
19055,239.5,11.4,0.0
19057,449.6,34.6,0.0
19059,200.5,5.9,5.9
19061,412.8,86.7,1.0
19063,280.1,10.0,0.0
19065,195.1,9.8,0.0
19067,229.9,12.4,6.2
19069,322.3,9.5,9.5
19071,282.5,0.0,0.0
19073,317.3,10.9,0.0
19075,178.7,8.1,0.0
19077,205.9,28.1,0.0
19079,176.3,6.5,0.0
19081,162.2,18.0,0.0
19083,183.5,22.9,0.0
19085,332.6,27.7,0.0
19087,222.5,29.7,0.0
19089,251.9,10.5,0.0
19091,165.2,10.3,0.0
19093,224.1,0.0,0.0
19095,183.7,6.1,0.0
19097,194.0,25.5,0.0
19099,253.8,30.0,0.0
19101,196.3,5.9,0.0
19103,522.4,58.9,3.6
19105,198.9,19.4,0.0
19107,183.9,19.4,0.0
19109,176.2,6.5,0.0
19111,319.5,25.2,0.0
19113,492.3,50.0,1.9
19115,221.6,0.0,0.0
19117,251.5,0.0,0.0
19119,85.4,0.0,0.0
19121,103.6,25.9,0.0
19123,343.5,58.0,4.5
19125,249.6,24.1,3.0
19127,356.1,34.2,2.4
19129,228.2,33.6,6.7
19131,205.4,0.0,0.0
19133,285.1,21.9,0.0
19135,174.7,0.0,0.0
19137,182.3,28.8,0.0
19139,364.2,28.0,2.3
19141,185.1,0.0,0.0
19143,161.0,16.1,0.0
19145,369.1,12.7,0.0
19147,141.5,21.8,0.0
19149,216.4,12.0,8.0
19151,111.8,28.0,0.0
19153,509.4,86.8,4.4
19155,460.5,96.0,2.2
19157,301.1,10.8,0.0
19159,216.9,19.7,0.0
19161,139.0,0.0,0.0
19163,538.8,67.5,9.4
19165,167.2,33.4,0.0
19167,133.2,11.6,0.0
19169,452.4,33.5,0.0
19171,324.3,62.6,0.0
19173,162.3,16.2,0.0
19175,341.7,31.8,0.0
19177,215.2,0.0,0.0
19179,649.9,70.6,0.0
19181,234.5,6.3,0.0
19183,177.2,13.6,0.0
19185,93.7,0.0,0.0
19187,499.4,121.5,0.0
19189,180.0,0.0,0.0
19191,157.2,9.5,0.0
19193,564.0,156.7,2.0
19195,79.6,13.3,0.0
19197,215.8,30.8,0.0
20001,274.3,15.2,0.0
20003,202.6,50.7,0.0
20005,304.5,11.9,0.0
20007,161.7,0.0,20.2
20009,381.7,10.9,0.0
20011,168.3,26.9,0.0
20013,230.1,10.0,0.0
20015,234.0,33.4,0.0
