FIPS,Rate
16029,0.0
16031,17.1
16033,0.0
16035,11.7
16037,0.0
16039,30.6
16041,7.8
16043,23.2
16045,0.0
16047,13.3
16049,0.0
16051,3.7
16053,26.7
16055,22.2
16057,34.1
16059,0.0
16061,51.3
16063,18.8
16065,2.7
16067,14.8
16069,17.5
16071,0.0
16073,0.0
16075,0.0
16077,13.0
16079,0.0
16081,9.7
16083,42.5
16085,0.0
16087,10.1
17001,49.2
17003,222.8
17005,17.2
17007,9.3
17009,14.6
17011,23.5
17013,19.8
17015,20.1
17017,37.5
17019,185.5
17021,29.2
17023,18.5
17025,7.4
17027,26.4
17029,46.6
17031,198.2
17033,10.3
17035,18.3
17037,68.7
17039,12.2
17041,10.1
17043,26.0
17045,0.0
17047,0.0
17049,14.6
17051,4.5
17053,14.5
17055,66.3
17057,22.0
17059,36.9
17061,7.3
17063,21.9
17065,12.0
17067,10.7
17069,0.0
17071,0.0
17073,24.1
17075,13.8
17077,160.5
17079,10.4
17081,69.9
17083,22.1
17085,31.2
17087,47.3
17089,45.5
17091,115.1
17093,28.5
17095,92.2
17097,57.6
17099,57.9
17101,6.0
17103,25.8
17105,15.7
17107,73.4
17109,70.8
17111,13.0
17113,81.9
17115,309.3
17117,32.0
17119,76.0
17121,33.7
17123,41.1
17125,0.0
17127,46.4
17129,47.6
17131,18.5
17133,14.9
17135,13.5
17137,102.7
17139,13.4
17141,26.7
17143,238.8
17145,27.4
17147,12.2
17149,18.6
17151,92.8
17153,101.6
17155,0.0
17157,24.3
17159,37.1
17161,53.6
17163,235.6
17165,32.1
17167,179.8
17169,13.4
17171,76.6
17173,9.0
17175,16.9
17177,122.0
17179,33.7
17181,28.4
17183,215.4
17185,42.9
17187,16.9
17189,6.9
17191,0.0
17193,13.7
17195,34.7
17197,53.6
17199,32.9
17201,152.8
17203,35.6
18001,17.3
18003,151.8
18005,70.4
18007,57.0
18009,24.0
18011,13.2
18013,0.0
18015,10.0
18017,18.2
18019,82.3
18021,7.5
18023,27.3
18025,9.4
18027,30.9
18029,34.1
18031,11.4
18033,35.5
18035,118.3
18037,33.0
18039,100.7
18041,41.9
18043,85.3
18045,29.6
18047,4.4
18049,19.6
18051,65.5
18053,104.2
18055,24.4
18057,27.3
18059,33.5
18061,20.4
18063,39.6
18065,30.6
18067,87.0
18069,19.0
18071,43.7
18073,3.0
18075,18.8
18077,49.3
18079,24.8
18081,56.3
18083,34.3
18085,62.9
18087,7.9
18089,121.5
18091,80.9
18093,10.9
18095,68.2
18097,363.5
18099,6.4
18101,19.7
18103,41.5
18105,66.2
18107,26.2
18109,30.1
18111,14.2
18113,46.2
18115,16.7
18117,30.3
18119,14.2
18121,40.7
18123,30.7
18125,31.5
18127,25.2
18129,19.6
18131,7.7
18133,5.3
18135,39.0
18137,35.2
18139,23.5
18141,84.7
18143,62.6
18145,38.0
18147,43.0
18149,4.3
18151,34.9
18153,4.7
18155,28.5
18157,86.6
18159,31.9
18161,13.7
18163,207.8
18165,0.0
18167,74.8
18169,12.4
18171,35.7
18173,37.7
18175,39.6
18177,166.4
18179,21.6
18181,12.3
18183,15.0
19001,26.8
19003,0.0
19005,14.1
19007,31.5
19009,0.0
19011,15.6
19013,149.4
19015,15.2
19017,12.2
19019,38.1
19021,19.4
19023,0.0
19025,10.1
19027,34.0
19029,7.4
19031,10.9
19033,13.8
19035,0.0
19037,8.1
19039,0.0
19041,0.0
19043,11.3
19045,97.1
19047,17.2
19049,25.5
19051,0.0
19053,12.3
19055,11.4
19057,34.6
19059,5.9
19061,86.7
19063,10.0
19065,9.8
19067,12.4
19069,9.5
19071,0.0
19073,10.9
19075,8.1
19077,28.1
19079,6.5
19081,18.0
19083,22.9
19085,27.7
19087,29.7
19089,10.5
19091,10.3
19093,0.0
19095,6.1
19097,25.5
19099,30.0
19101,5.9
19103,58.9
19105,19.4
19107,19.4
19109,6.5
19111,25.2
19113,50.0
19115,0.0
19117,0.0
19119,0.0
19121,25.9
19123,58.0
19125,24.1
19127,34.2
19129,33.6
19131,0.0
19133,21.9
19135,0.0
19137,28.8
19139,28.0
19141,0.0
19143,16.1
19145,12.7
19147,21.8
19149,12.0
19151,28.0
19153,86.8
19155,96.0
19157,10.8
19159,19.7
19161,0.0
19163,67.5
19165,33.4
19167,11.6
19169,33.5
19171,62.6
19173,16.2
19175,31.8
19177,0.0
19179,70.6
19181,6.3
19183,13.6
19185,0.0
19187,121.5
19189,0.0
19191,9.5
19193,156.7
19195,13.3
19197,30.8
20001,15.2
20003,50.7
20005,11.9
20007,0.0
20009,10.9
20011,26.9
20013,10.0
20015,33.4
20017,0.0
20019,0.0
20021,14.3
20023,74.2
20025,0.0
20027,11.9
20029,43.0
20031,0.0
20033,0.0
20035,71.8
20037,22.9
20039,0.0
20041,61.2
20043,38.2
20045,81.3
20047,0.0
20049,0.0
20051,24.1
20053,15.6
20055,35.0
20057,25.8
20059,27.2
20061,168.5
20063,0.0
20065,0.0
20067,12.6
20069,0.0
20071,0.0
20073,31.1
20075,0.0
20077,0.0
20079,43.2
20081,24.1
20083,51.3
20085,37.4
20087,31.9
20089,0.0
20091,33.0
20093,0.0
20095,25.5
20097,0.0
20099,43.0
20101,0.0
20103,65.2
20105,31.8
20107,10.5
20109,0.0
20111,26.9
20113,30.4
20115,16.4
20117,0.0
20119,46.1
20121,15.2
20123,0.0
20125,52.5
