ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,,
01098,81200703,384439,31.35,0.15,"1,101",610,42.394315,-72.943115,,
01103,1191989,205067,0.46,0.08,"2,479","1,661",42.104106,-72.592028,,
01104,13509560,212850,5.22,0.08,"22,865","9,381",42.134009,-72.565378,,
01105,3219040,306964,1.24,0.12,"12,350","5,586",42.095207,-72.577579,,
01106,24090566,1331605,9.30,0.51,"16,021","6,107",42.047565,-72.571130,,
01107,3903756,89142,1.51,0.03,"11,611","4,252",42.121060,-72.607068,,
01108,9643254,406401,3.72,0.16,"26,688","10,992",42.080692,-72.560791,,
01109,14094949,487865,5.44,0.19,"30,250","10,818",42.119674,-72.549726,,
01118,9312203,260877,3.60,0.10,"14,071","5,911",42.093732,-72.525905,,
01119,9194297,241739,3.55,0.09,"14,152","5,185",42.124978,-72.511210,,
01128,2892857,1287,1.12,0.00,"2,631","1,077",42.092296,-72.489135,,
01129,8867992,237886,3.42,0.09,"7,019","2,982",42.119062,-72.487402,,
01151,6134290,464565,2.37,0.18,"8,698","3,699",42.151860,-72.509131,,
01199,28277,0,0.01,0.00,0,0,42.120563,-72.604468,,
01201,137058017,6752938,52.92,2.61,"46,504","22,443",42.448236,-73.273727,,
01220,63689337,204142,24.59,0.08,"8,603","4,434",42.623799,-73.116737,,
01222,8565484,333235,3.31,0.13,829,361,42.058703,-73.322175,,
01223,180653860,5294145,69.75,2.04,"2,314","1,986",42.312225,-73.110124,,
01224,720507,82246,0.28,0.03,182,81,42.513356,-73.195594,,
01225,65025449,1821072,25.11,0.70,"3,117","1,466",42.563363,-73.153566,,
01226,68319649,366617,26.38,0.14,"6,945","2,993",42.481119,-73.135073,,
01229,1897309,1745,0.73,0.00,95,61,42.276339,-73.335896,,
01230,237032746,4530189,91.52,1.75,"8,430","4,633",42.172941,-73.324463,,
01235,118213863,2794609,45.64,1.08,"2,766","1,507",42.430620,-73.064073,,
01236,12437975,157895,4.80,0.06,"1,509",784,42.266496,-73.378393,,
01237,160121626,1140685,61.82,0.44,"2,496","1,334",42.547818,-73.268033,,
01238,90217712,2706357,34.83,1.04,"6,047","3,155",42.297501,-73.230148,,
01240,55374233,1159162,21.38,0.45,"4,534","2,920",42.367861,-73.269768,,
01242,1288423,24934,0.50,0.01,476,214,42.333734,-73.249199,,
01243,48306686,57277,18.65,0.02,334,188,42.350122,-73.024112,,
01244,6345198,70886,2.45,0.03,151,84,42.118094,-73.257497,,
01245,72467551,2047530,27.98,0.79,985,914,42.186893,-73.223105,,
01247,136035510,1480109,52.52,0.57,"16,087","7,785",42.698437,-73.084090,,
01253,47310437,1044523,18.27,0.40,731,568,42.206682,-73.113214,,
01254,37713379,147081,14.56,0.06,972,591,42.382019,-73.365492,,
01255,134177247,3047061,51.81,1.18,915,671,42.107496,-73.118607,,
01256,92838285,452299,35.85,0.17,692,357,42.594166,-73.022319,,
01257,93848678,2221979,36.24,0.86,"2,121","1,231",42.085245,-73.367482,,
01258,66839821,399664,25.81,0.15,374,338,42.109280,-73.462886,,
01259,65593267,2042077,25.33,0.79,635,431,42.075469,-73.234376,,
01260,6503634,101867,2.51,0.04,240,134,42.295696,-73.342543,,
01262,31167340,2127685,12.03,0.82,"1,238","1,068",42.292202,-73.319209,,
01264,29425420,90081,11.36,0.03,137,109,42.231590,-73.202428,,
01266,67473737,780772,26.05,0.30,"1,463","1,096",42.312338,-73.387824,,
01267,141293372,342660,54.55,0.13,"7,989","3,202",42.671616,-73.246981,,
01270,82512104,420829,31.86,0.16,778,441,42.515272,-73.031166,,
01301,66020418,1388444,25.49,0.54,"17,700","8,485",42.626761,-72.601530,,
01330,86313800,631880,33.33,0.24,"1,506",771,42.513947,-72.821517,,
01331,137844144,3586460,53.22,1.38,"13,263","6,028",42.562408,-72.191080,,
01337,96405836,165266,37.22,0.06,"2,596","1,165",42.689307,-72.582249,,
01338,8946607,12299,3.45,0.00,187,82,42.572652,-72.824428,,
01339,142392158,630079,54.98,0.24,"1,438",787,42.603776,-72.889644,,
01340,114430561,658628,44.18,0.25,"1,701",954,42.694726,-72.711079,,
01341,92426089,465179,35.69,0.18,"1,833",801,42.496937,-72.709414,,
01342,46190734,2211971,17.83,0.85,"1,492",518,42.543889,-72.609458,,
01343,12615499,76887,4.87,0.03,75,38,42.657625,-72.978931,,
01344,35313664,1342460,13.63,0.52,"1,498",654,42.613418,-72.426427,,
01346,54379277,99661,21.00,0.04,533,429,42.693275,-72.823113,,
01347,1495232,221070,0.58,0.09,166,75,42.559294,-72.518753,,
01349,19874430,573426,7.67,0.22,"1,091",496,42.563061,-72.482122,,
01350,27768017,274112,10.72,0.11,121,77,42.727772,-72.985346,,
01351,54198079,1126552,20.93,0.43,"2,270","1,032",42.539880,-72.521689,,
01354,35647707,2665409,13.76,1.03,"1,500",608,42.624076,-72.508643,,
01355,122713549,35676837,47.38,13.77,878,418,42.458522,-72.327219,,
01360,88796644,2812794,34.28,1.09,"3,032","1,391",42.677091,-72.453876,,
01364,101602863,2854976,39.23,1.10,"7,969","3,652",42.615152,-72.289902,,
01366,104649746,1453531,40.41,0.56,"1,277",566,42.475621,-72.192468,,
01367,68727436,1770127,26.54,0.68,522,300,42.695532,-72.909148,,
01368,108369099,1829133,41.84,0.71,"1,261",578,42.679456,-72.176935,,
01370,129031063,1398461,49.82,0.54,"4,084","1,976",42.593338,-72.726941,,
01373,62576781,1471565,24.16,0.57,"4,600","2,076",42.473862,-72.615612,,
01375,36856254,1349204,14.23,0.52,"3,684","1,729",42.466762,-72.546855,,
01376,7149877,1465720,2.76,0.57,"5,247","2,503",42.595280,-72.555002,,
01378,88114809,812951,34.02,0.31,774,441,42.673533,-72.353213,,
01379,78233305,962449,30.21,0.37,813,420,42.556310,-72.407148,,
01420,78520256,1778875,30.32,0.69,"40,337","17,128",42.584925,-71.816862,,
01430,95807807,6750019,36.99,2.61,"6,089","2,606",42.657005,-71.923442,,
01431,61389725,1002029,23.70,0.39,"3,074","1,191",42.676293,-71.832523,,
01432,21888062,1219817,8.45,0.47,"7,089","3,422",42.566573,-71.575135,,
01434,13678208,401234,5.28,0.15,"1,795",122,42.539088,-71.611613,,
01436,24849921,506517,9.59,0.20,"3,336","1,214",42.603375,-72.088395,,
01438,1403430,48435,0.54,0.02,559,214,42.562243,-72.031402,,
01440,62268795,2487879,24.04,0.96,"20,347","9,179",42.586516,-71.988062,,
01450,84853731,2575943,32.76,0.99,"10,646","3,989",42.611760,-71.565269,,
01451,49550919,1682988,19.13,0.65,"4,747","1,824",42.501908,-71.568201,,
01452,106373488,2406515,41.07,0.93,"4,382","1,662",42.489598,-72.002878,,
01453,73735859,1369889,28.47,0.53,"40,883","17,912",42.519960,-71.763075,,
01460,42791669,2583059,16.52,1.00,"8,924","3,477",42.535931,-71.490569,,
01462,68579436,3269933,26.48,1.26,"10,086","4,133",42.582607,-71.720464,,
01463,58533407,1546295,22.60,0.60,"11,497","4,348",42.670642,-71.602857,,
01464,38884871,204034,15.01,0.08,"7,211","2,427",42.573654,-71.640986,,
01467,4908783,28882,1.90,0.01,316,141,42.492367,-71.609303,,
01468,55425624,688465,21.40,0.27,"4,021","1,671",42.542767,-72.068345,,
01469,59261468,606711,22.88,0.23,"6,801","2,572",42.665059,-71.695333,,
01473,91766611,4719705,35.43,1.82,"7,277","2,960",42.554600,-71.905440,,
01474,25690700,78185,9.92,0.03,"2,125",813,42.669685,-71.752751,,
01475,110986284,2716014,42.85,1.05,"10,270","4,179",42.668160,-72.055644,,
01501,40018190,2420118,15.45,0.93,"16,075","6,770",42.198708,-71.846006,,
01503,33598202,523984,12.97,0.20,"2,866","1,189",42.384929,-71.633889,,
01504,28685128,819182,11.08,0.32,"9,026","3,628",42.039991,-71.532406,,
01505,41598694,9562396,16.06,3.69,"4,355","1,778",42.355049,-71.716157,,
01506,40266781,2729462,15.55,1.05,"3,390","1,493",42.181793,-72.107473,,
01507,109254326,4179167,42.18,1.61,"12,981","4,885",42.133935,-71.968025,,
01510,14645926,4178501,5.65,1.61,"13,606","6,397",42.411887,-71.690005,,
01515,25514944,1433058,9.85,0.55,"2,183",931,42.209682,-72.040178,,
01516,95201650,4019691,36.76,1.55,"8,500","3,306",42.053072,-71.752241,,
01518,22976455,1925342,8.87,0.74,"2,974","1,326",42.127477,-72.118818,,
01519,28261149,279201,10.91,0.11,"6,595","2,539",42.203404,-71.679739,,
01520,46830036,1794650,18.08,0.69,"13,997","5,339",42.336371,-71.850626,,
01521,31841683,1990803,12.29,0.77,"2,481","1,365",42.046798,-72.180149,,
01522,42419059,1399750,16.38,0.54,"3,310","1,298",42.375634,-71.867382,,
01523,65263989,1138106,25.20,0.44,"7,582","2,462",42.482819,-71.675513,,
01524,41375156,2508035,15.98,0.97,"6,696","2,594",42.249603,-71.919217,,
01525,1162429,81164,0.45,0.03,290,120,42.106794,-71.630518,,
01527,40323227,1862226,15.57,0.72,"13,246","5,618",42.192246,-71.777649,,
01529,12706301,151536,4.91,0.06,"3,190","1,162",42.036642,-71.578779,,
01531,53842961,405495,20.79,0.16,999,390,42.319125,-72.130814,,
01532,47852201,705487,18.48,0.27,"14,155","5,314",42.323342,-71.646236,,
01534,22682354,325730,8.76,0.13,"5,631","2,123",42.142074,-71.643348,,
01535,55084070,1759511,21.27,0.68,"4,680","2,058",42.267564,-72.066876,,
01536,21598203,755400,8.34,0.29,"6,888","2,794",42.231309,-71.692642,,
01537,18085937,295745,6.98,0.11,"2,248","1,077",42.158966,-71.897051,,
01540,50128319,2048507,19.35,0.79,"11,291","4,395",42.116168,-71.857369,,
01541,91709834,1032231,35.41,0.40,"3,413","1,339",42.454125,-71.877540,,
01542,10426627,422661,4.03,0.16,"2,202",829,42.204251,-71.908907,,
01543,90918826,2972193,35.10,1.15,"7,973","2,990",42.388977,-71.970514,,
01545,53712526,2715591,20.74,1.05,"35,299","13,955",42.284767,-71.714228,,
01550,52512755,1627401,20.28,0.63,"16,719","7,527",42.059669,-72.034040,,
01560,9238873,270445,3.57,0.10,"4,527","1,844",42.175395,-71.674223,,
01561,319273,0,0.12,0.00,330,102,42.443970,-71.685583,,
01562,85038323,3036877,32.83,1.17,"11,688","5,295",42.247211,-71.991867,,
01564,79343448,2761462,30.63,1.07,"7,808","2,965",42.447924,-71.776045,,
01566,73430539,2562230,28.35,0.99,"6,294","2,663",42.103214,-72.079545,,
01568,55529918,593264,21.44,0.23,"7,480","2,808",42.176525,-71.603588,,
01569,75315947,1580796,29.08,0.61,"13,569","5,349",42.055892,-71.631294,,
01570,32048670,5780810,12.37,2.23,"16,767","8,011",42.047532,-71.846952,,
01571,53915863,2717076,20.82,1.05,"11,390","4,403",42.053778,-71.935075,,
01581,53312878,2229292,20.58,0.86,"18,272","7,350",42.268426,-71.613309,,
01583,32672267,2354742,12.61,0.91,"7,591","2,721",42.369417,-71.785036,,
