COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01051,36022,0.092184069,0.025692359,0.029535865,0.086925568
01051,36025,0.042997604,0.030363697,0.040084388,0.042096319
01051,36092,0.259707526,0.381381381,0.331223629,0.268860666
01051,36024,0.084897185,0.060393727,0.044303797,0.082768757
01051,36020,0.011504292,0.004337671,0.014767932,0.011046552
01051,36066,0.017293871,0.055388722,0.149789030,0.021358198
01051,36026,0.023956878,0.008008008,0.014767932,0.022759112
01051,35010,0.008908964,0.002335669,0.033755274,0.008727005
01051,36054,0.195198642,0.230897564,0.078059072,0.196380589
01051,35136,0.000249551,0.000000000,0.000000000,0.000229658
01051,36078,0.106433420,0.126793460,0.094936709,0.107709620
01051,36051,0.004916151,0.001668335,0.000000000,0.004639092
01051,36080,0.035411260,0.010343677,0.143459916,0.034862090
01051,36093,0.116340587,0.062395729,0.025316456,0.111636773
01053,36562,0.004743536,0.000560224,0.012376238,0.004538436
01053,36441,0.096278148,0.055462185,0.074257426,0.092453095
01053,36426,0.444641368,0.455462185,0.450495050,0.445655734
01053,36502,0.425198082,0.468907563,0.460396040,0.429513873
01053,36483,0.012093411,0.006722689,0.002475248,0.011463061
01053,36420,0.003492494,0.002801120,0.000000000,0.003368736
01053,36432,0.013552961,0.006722689,0.000000000,0.012726337
01053,36543,0.000000000,0.000560224,0.000000000,0.000046788
01053,36503,0.000000000,0.002801120,0.000000000,0.000233940
01055,35905,0.052866854,0.028401458,0.042364532,0.050578178
01055,35972,0.008035318,0.001919017,0.000000000,0.007372188
01055,35961,0.004359391,0.000767607,0.000000000,0.003976011
01055,35957,0.000683464,0.000191902,0.000000000,0.000629535
01055,35121,0.000073888,0.000000000,0.000000000,0.000066267
01055,35990,0.000018472,0.000191902,0.000000000,0.000033133
01055,35952,0.040250480,0.007292266,0.003940887,0.036794672
01055,36271,0.000073888,0.000000000,0.000000000,0.000066267
01055,35901,0.190797251,0.308386106,0.408866995,0.204615487
01055,35907,0.069842619,0.022836308,0.050246305,0.065455088
01055,35954,0.118867297,0.110343504,0.095566502,0.117739638
01055,35902,0.022665140,0.109192094,0.001970443,0.029786952
01055,36272,0.010547510,0.003454231,0.000000000,0.009757795
01055,35906,0.095629526,0.125695644,0.153694581,0.099201484
01055,35956,0.078376681,0.032815199,0.015763547,0.073390544
01055,35904,0.134900990,0.105737862,0.118226601,0.132102979
01055,35903,0.172011231,0.142774899,0.109359606,0.168433783
01057,35555,0.564410597,0.832402235,0.930851064,0.589909064
01057,35563,0.004719511,0.000000000,0.000000000,0.004302337
01057,35554,0.036039901,0.008379888,0.010638298,0.033636453
01057,35559,0.000000000,0.001396648,0.000000000,0.000097780
01057,35545,0.000000000,0.001396648,0.000000000,0.000097780
01057,35594,0.122385498,0.034916201,0.010638298,0.114207490
01057,35542,0.075941221,0.018156425,0.005319149,0.070597438
01057,35549,0.018556259,0.001396648,0.000000000,0.017013787
01057,35546,0.158103615,0.099162011,0.042553191,0.151852938
01057,35574,0.019843398,0.002793296,0.000000000,0.018284932
01059,35653,0.321002387,0.604761905,0.426621160,0.341023924
01059,35581,0.167263325,0.083809524,0.242320819,0.163267791
01059,35565,0.011999470,0.003809524,0.013651877,0.011505448
01059,35582,0.132060461,0.111428571,0.085324232,0.129908078
01059,35593,0.054097056,0.020952381,0.017064846,0.051317952
